2026-03-09 00:20:21 | INFO     | alphalens.pipeline | QUICK_TEST enabled
2026-03-09 00:20:21 | INFO     | alphalens.pipeline | Running stages: ['data', 'sources', 'train', 'evaluate', 'backtest', 'keywords', 'recommend']
2026-03-09 00:20:24 | INFO     | alphalens.pipeline | === Stage: Data Preparation ===
2026-03-09 00:40:43 | INFO     | alphalens.pipeline | QUICK_TEST enabled
2026-03-09 00:40:43 | INFO     | alphalens.pipeline | Running stages: ['data', 'sources', 'train', 'evaluate', 'backtest', 'keywords', 'recommend']
2026-03-09 00:40:45 | INFO     | alphalens.pipeline | === Stage: Data Preparation ===
2026-03-09 00:56:13 | INFO     | alphalens.pipeline | QUICK_TEST enabled
2026-03-09 00:56:13 | INFO     | alphalens.pipeline | Running stages: ['data', 'sources', 'train', 'evaluate', 'backtest', 'keywords', 'recommend']
2026-03-09 00:56:15 | INFO     | alphalens.pipeline | === Stage: Data Preparation ===
2026-03-09 00:56:15 | INFO     | alphalens.pipeline | === Stage complete: Data Preparation (0m 0s) ===
2026-03-09 00:56:15 | INFO     | alphalens.pipeline | === Stage: Data Sources ===
2026-03-09 00:56:15 | INFO     | alphalens.pipeline | === Stage complete: Data Sources (0m 0s) ===
2026-03-09 00:56:24 | INFO     | alphalens.pipeline | === Stage: Training (quick-test proxy) ===
2026-03-09 00:56:25 | INFO     | alphalens.pipeline | === Stage complete: Training (quick-test proxy) (0m 1s) ===
2026-03-09 00:56:25 | INFO     | alphalens.pipeline | === Stage: Evaluation ===
2026-03-09 00:56:27 | INFO     | alphalens.pipeline | === Stage complete: Evaluation (0m 1s) ===
2026-03-09 00:56:28 | INFO     | alphalens.pipeline | === Stage: Backtest FinBERT ===
2026-03-09 00:56:28 | INFO     | alphalens.pipeline | === Stage complete: Backtest FinBERT (0m 0s) ===
2026-03-09 00:56:28 | INFO     | alphalens.pipeline | === Stage: Backtest VADER ===
2026-03-09 00:56:28 | INFO     | alphalens.pipeline | === Stage complete: Backtest VADER (0m 0s) ===
2026-03-09 00:56:28 | INFO     | alphalens.pipeline | === Stage: Price Fetch ===
2026-03-09 00:56:28 | INFO     | alphalens.pipeline | === Stage complete: Price Fetch (0m 0s) ===
2026-03-09 00:56:28 | INFO     | alphalens.pipeline | === Stage: Keyword Analysis ===
2026-03-09 00:56:45 | INFO     | alphalens.pipeline | === Stage complete: Keyword Analysis (0m 16s) ===
2026-03-09 00:57:41 | INFO     | alphalens.pipeline | QUICK_TEST enabled
2026-03-09 00:57:41 | INFO     | alphalens.pipeline | Running stages: ['data', 'sources', 'train', 'evaluate', 'backtest', 'keywords', 'recommend']
2026-03-09 00:57:43 | INFO     | alphalens.pipeline | === Stage: Data Preparation ===
2026-03-09 00:57:43 | INFO     | alphalens.pipeline | === Stage complete: Data Preparation (0m 0s) ===
